#cl	p	j	k	sh	object	mag	Filt	Hsur	dist	a	e	i	Omega	omega	tperi	resamp	kozai
res	N	7	4	S	o3e19	23.4	r	7.2	41.043	43.648551	0.076657	1.645	198.738	55.78	66939.327	87	0
res	N	7	4	S	o3l16	24.24	r	8.32	39.109	43.645047	0.115444	2.065	111.461	287.855	63268.419	107	0
res	N	7	4	IH	o3l27	24.4	r	8.21	41.362	43.746667	0.136084	8.364	18.841	281.243	39184.648	135	0
res	N	7	4	IH	o3l30	24.18	r	7.88	41.744	43.697763	0.074802	7.642	187.781	244.039	71196.534	999	0
res	N	7	4	IH	o3l75	24.1	r	7.41	46.691	43.637181	0.070095	8.455	27.855	165.266	4992.553	999	0
res	N	7	4	I	o3l82	24.09	r	6.65	54.396	43.762334	0.289624	24.986	21.364	148.296	97103.797	137	0
res	N	7	4	I	o4h27	24.26	r	8.44	38.286	43.654508	0.13239	4.201	244.934	165.864	62489.608	49	1
res	N	7	4	I	o4h52	24.66	r	7.94	47.1	43.721486	0.129876	4.143	266.445	350.058	21621.6	70	1
res	N	7	4	S	o5p016	24.36	r	9.12	33.528	43.663249	0.26284	27.283	200.049	41.472	63243.363	81	1
res	N	7	4	I	o5p018	24.65	r	9.28	34.466	43.606488	0.247367	5.319	201.977	323.641	49957.509	37	1
res	N	7	4	I	o5p027	24.54	r	8.9	36.793	43.52474	0.162129	2.955	129.683	50.866	52854.423	128	0
res	N	7	4	I	o5p028	24.01	r	8.36	36.878	43.798026	0.170838	3.912	48.628	129.637	51650.695	135	0
res	N	7	4	S	o5p032PD	23.49	r	7.72	37.917	43.531917	0.130401	4.662	175.111	37.004	59267.707	145	0
res	N	7	4	IH	o5p038	24.4	r	8.54	38.701	43.764494	0.118613	4.554	55.185	132.628	53829.333	999	0
res	N	7	4	I	o5p039	24.29	r	8.42	38.738	43.630155	0.116289	5.618	197.931	349.608	53145.894	142	0
res	N	7	4	IH	o5p054	24.42	r	8.36	40.618	43.715322	0.085938	2.02	199.066	327.492	47839.656	101	0
res	N	7	4	I	o5p063	23.91	r	7.78	41.09	43.636778	0.058382	1.774	57.861	145.655	56676.1	114	0
res	N	7	4	S	o5p065	23.53	r	7.37	41.37	43.669348	0.05271	11.292	39.097	168.091	57790.812	58	1
res	N	7	4	S	o5m70	23.86	r	7.41	43.733	43.663708	0.121811	13.659	80.713	53.953	32661.271	999	1
res	N	7	4	I	o5m78	24.74	r	8.03	46.599	43.630038	0.068286	5.981	153.522	257.88	108277.157	116	0
res	N	7	4	I	o5s18	24.48	r	8.78	36.34	43.62543	0.168484	3.559	332.601	27.362	55420.171	103	1
res	N	7	4	I	o5s44	24.55	r	8.19	42.453	43.642957	0.083597	2.383	252.496	189.897	76694.818	149	0
res	N	7	4	S	o5t17	24.59	r	8.62	38.731	43.652206	0.11276	2.61	192.182	174.373	57008.131	84	0
res	N	7	4	I	o5t21	24.85	r	8.68	40.513	43.629431	0.073856	6.872	200.871	152.613	53288.697	51	0
res	N	7	4	IH	o5t35	23.91	r	7.48	43.077	43.707976	0.084797	4.571	201.44	249.688	79365.688	161	0
res	N	7	4	S	o5c029	23.41	r	7.81	36.293	43.574458	0.167657	6.835	227.193	187.345	58460.655	148	0
res	N	7	4	I	o5c052	24.19	r	7.99	41.436	43.706683	0.202702	8.266	67.033	71.452	76059.662	78	0
res	N	7	4	S	o5c064	24.16	r	7.82	43.012	43.666203	0.048874	2.022	58.332	275.161	37002.655	116	0
res	N	7	4	I	o5c088	24.6	r	7.92	46.3	43.689716	0.078652	2.763	148.354	45.322	97301.851	106	0
res	N	7	4	I	o5c095	24.51	r	7.71	47.548	43.710357	0.088101	3.554	76.572	151.103	108539.654	118	0
res	N	7	4	S	o5c096	24.01	r	7.2	47.926	43.671076	0.133609	2.737	69.741	197.27	18829.315	121	0
res	N	7	4	S	o5d038	24.24	r	8.39	38.38	43.700657	0.140333	3.699	163.715	279.45	64895.947	90	1
res	N	7	4	S	o5d060	23.56	r	7.5	40.32	43.689693	0.094377	11.39	222.071	226.177	66725.211	999	1
res	N	7	4	S	o5d065	24.86	r	8.75	40.807	43.638365	0.068445	2.939	101.427	328.075	62396.01	130	0
res	N	7	4	I	o5d068	25.1	r	8.97	40.999	43.680958	0.061535	4.467	61.091	352.228	58378.535	149	0
res	N	7	4	I	o5d080	25.04	r	8.75	42.384	43.637061	0.070713	1.228	60.811	280.856	39111.735	112	0
res	N	7	4	I	o5d086	25	r	8.68	42.723	43.679612	0.09526	1.519	59.236	73.425	78233.055	102	0
res	N	7	4	I	o5d138	25.05	r	8.23	47.909	43.594836	0.126138	3.072	44.04	153.113	97375.506	128	0
res	N	7	4	s	K02O03	23.3	R	7.33	39.093	43.685749	0.189021	0.753	182.593	78.011	38671.954	70	0
res	N	7	4	s	L3q08PD	23.86	g	7.74	40.72	43.633436	0.124609	5.45	336.79	289.186	37810.299	60	0
res	N	7	4	s	L3w03	23.7	g	7.59	40.243	43.635985	0.078621	1.447	31.494	45.013	55292.344	130	0
res	N	7	4	s	L4n03	23.71	g	7.6	40.481	43.646091	0.124721	9.727	110.765	238.56	67428.428	60	0
res	N	7	4	s	L4v10	23.9	g	7.67	41.971	43.665389	0.214605	0.817	246.487	63.786	33574.622	90	0
